	註記	號次	姓名	性別	得票數	得票率	推薦之政黨	地區
5		4	許忠信	男	960	7.35%	無	臺南市 七股區
6		5	陳永和	男	1144	8.75%	無	臺南市 七股區
7		6	蘇煥智	男	695	5.32%	無	臺南市 七股區
2	◎	1	黃偉哲	男	5438	45.68%	民主進步黨	臺南市 將軍區
3		2	高思博	男	3109	26.12%	中國國民黨	臺南市 將軍區
4		3	林義豐	男	1115	9.37%	無	臺南市 將軍區
5		4	許忠信	男	873	7.33%	無	臺南市 將軍區
6		5	陳永和	男	912	7.66%	無	臺南市 將軍區
7		6	蘇煥智	男	457	3.84%	無	臺南市 將軍區
2	◎	1	黃偉哲	男	2757	42.63%	民主進步黨	臺南市 北門區
3		2	高思博	男	1877	29.02%	中國國民黨	臺南市 北門區
4		3	林義豐	男	652	10.08%	無	臺南市 北門區
5		4	許忠信	男	395	6.11%	無	臺南市 北門區
6		5	陳永和	男	448	6.93%	無	臺南市 北門區
7		6	蘇煥智	男	339	5.24%	無	臺南市 北門區
2	◎	1	黃偉哲	男	9154	38.46%	民主進步黨	臺南市 新化區
3		2	高思博	男	7591	31.89%	中國國民黨	臺南市 新化區
4		3	林義豐	男	2223	9.34%	無	臺南市 新化區
5		4	許忠信	男	1102	4.63%	無	臺南市 新化區
6		5	陳永和	男	2822	11.86%	無	臺南市 新化區
7		6	蘇煥智	男	911	3.83%	無	臺南市 新化區
2	◎	1	黃偉哲	男	9435	39.40%	民主進步黨	臺南市 善化區
3		2	高思博	男	6948	29.02%	中國國民黨	臺南市 善化區
4		3	林義豐	男	2001	8.36%	無	臺南市 善化區
5		4	許忠信	男	1583	6.61%	無	臺南市 善化區
6		5	陳永和	男	2878	12.02%	無	臺南市 善化區
7		6	蘇煥智	男	1099	4.59%	無	臺南市 善化區
2	◎	1	黃偉哲	男	7027	37.42%	民主進步黨	臺南市 新市區
3		2	高思博	男	5034	26.81%	中國國民黨	臺南市 新市區
4		3	林義豐	男	1605	8.55%	無	臺南市 新市區
5		4	許忠信	男	2012	10.71%	無	臺南市 新市區
6		5	陳永和	男	2340	12.46%	無	臺南市 新市區
7		6	蘇煥智	男	762	4.06%	無	臺南市 新市區
2	◎	1	黃偉哲	男	6643	40.09%	民主進步黨	臺南市 安定區
3		2	高思博	男	4752	28.67%	中國國民黨	臺南市 安定區
4		3	林義豐	男	1576	9.51%	無	臺南市 安定區
5		4	許忠信	男	899	5.42%	無	臺南市 安定區
6		5	陳永和	男	1997	12.05%	無	臺南市 安定區
7		6	蘇煥智	男	705	4.25%	無	臺南市 安定區
2	◎	1	黃偉哲	男	1521	37.37%	民主進步黨	臺南市 山上區
3		2	高思博	男	1244	30.57%	中國國民黨	臺南市 山上區
4		3	林義豐	男	467	11.47%	無	臺南市 山上區
5		4	許忠信	男	217	5.33%	無	臺南市 山上區
6		5	陳永和	男	423	10.39%	無	臺南市 山上區
7		6	蘇煥智	男	198	4.86%	無	臺南市 山上區
2	◎	1	黃偉哲	男	2656	32.54%	民主進步黨	臺南市 玉井區
3		2	高思博	男	3442	42.17%	中國國民黨	臺南市 玉井區
4		3	林義豐	男	665	8.15%	無	臺南市 玉井區
5		4	許忠信	男	302	3.70%	無	臺南市 玉井區
6		5	陳永和	男	632	7.74%	無	臺南市 玉井區
7		6	蘇煥智	男	465	5.70%	無	臺南市 玉井區
2	◎	1	黃偉哲	男	1576	28.48%	民主進步黨	臺南市 楠西區
3		2	高思博	男	2687	48.56%	中國國民黨	臺南市 楠西區
4		3	林義豐	男	400	7.23%	無	臺南市 楠西區
5		4	許忠信	男	218	3.94%	無	臺南市 楠西區
6		5	陳永和	男	353	6.38%	無	臺南市 楠西區
7		6	蘇煥智	男	299	5.40%	無	臺南市 楠西區
2	◎	1	黃偉哲	男	1792	33.17%	民主進步黨	臺南市 南化區
3		2	高思博	男	2229	41.26%	中國國民黨	臺南市 南化區
4		3	林義豐	男	474	8.77%	無	臺南市 南化區
5		4	許忠信	男	173	3.20%	無	臺南市 南化區
6		5	陳永和	男	402	7.44%	無	臺南市 南化區
7		6	蘇煥智	男	332	6.15%	無	臺南市 南化區
2	◎	1	黃偉哲	男	1233	41.80%	民主進步黨	臺南市 左鎮區
3		2	高思博	男	939	31.83%	中國國民黨	臺南市 左鎮區
4		3	林義豐	男	195	6.61%	無	臺南市 左鎮區
5		4	許忠信	男	211	7.15%	無	臺南市 左鎮區
6		5	陳永和	男	221	7.49%	無	臺南市 左鎮區
7		6	蘇煥智	男	151	5.12%	無	臺南市 左鎮區
2	◎	1	黃偉哲	男	14717	36.41%	民主進步黨	臺南市 仁德區
3		2	高思博	男	12883	31.88%	中國國民黨	臺南市 仁德區
4		3	林義豐	男	3522	8.71%	無	臺南市 仁德區
5		4	許忠信	男	1537	3.80%	無	臺南市 仁德區
6		5	陳永和	男	5911	14.63%	無	臺南市 仁德區
7		6	蘇煥智	男	1846	4.57%	無	臺南市 仁德區
2	◎	1	黃偉哲	男	13413	37.57%	民主進步黨	臺南市 歸仁區
3		2	高思博	男	9264	25.95%	中國國民黨	臺南市 歸仁區
4		3	林義豐	男	2942	8.24%	無	臺南市 歸仁區
5		4	許忠信	男	1292	3.62%	無	臺南市 歸仁區
6		5	陳永和	男	7202	20.17%	無	臺南市 歸仁區
7		6	蘇煥智	男	1588	4.45%	無	臺南市 歸仁區
2	◎	1	黃偉哲	男	7670	37.11%	民主進步黨	臺南市 關廟區
3		2	高思博	男	5323	25.76%	中國國民黨	臺南市 關廟區
4		3	林義豐	男	1580	7.65%	無	臺南市 關廟區
5		4	許忠信	男	573	2.77%	無	臺南市 關廟區
6		5	陳永和	男	4778	23.12%	無	臺南市 關廟區
7		6	蘇煥智	男	742	3.59%	無	臺南市 關廟區
2	◎	1	黃偉哲	男	814	29.24%	民主進步黨	臺南市 龍崎區
3		2	高思博	男	676	24.28%	中國國民黨	臺南市 龍崎區
4		3	林義豐	男	180	6.47%	無	臺南市 龍崎區
5		4	許忠信	男	82	2.95%	無	臺南市 龍崎區
6		5	陳永和	男	917	32.94%	無	臺南市 龍崎區
7		6	蘇煥智	男	115	4.13%	無	臺南市 龍崎區
2	◎	1	黃偉哲	男	38762	34.70%	民主進步黨	臺南市 永康區
3		2	高思博	男	38892	34.81%	中國國民黨	臺南市 永康區
4		3	林義豐	男	9587	8.58%	無	臺南市 永康區
5		4	許忠信	男	4676	4.19%	無	臺南市 永康區
6		5	陳永和	男	15007	13.43%	無	臺南市 永康區
7		6	蘇煥智	男	4787	4.29%	無	臺南市 永康區
2	◎	1	黃偉哲	男	28636	32.27%	民主進步黨	臺南市 東區
3		2	高思博	男	36041	40.61%	中國國民黨	臺南市 東區
4		3	林義豐	男	5457	6.15%	無	臺南市 東區
5		4	許忠信	男	3522	3.97%	無	臺南市 東區
6		5	陳永和	男	11681	13.16%	無	臺南市 東區
7		6	蘇煥智	男	3410	3.84%	無	臺南市 東區
2	◎	1	黃偉哲	男	25068	39.35%	民主進步黨	臺南市 南區
3		2	高思博	男	21036	33.02%	中國國民黨	臺南市 南區
4		3	林義豐	男	5430	8.52%	無	臺南市 南區
5		4	許忠信	男	2585	4.06%	無	臺南市 南區
6		5	陳永和	男	7661	12.03%	無	臺南市 南區
7		6	蘇煥智	男	1925	3.02%	無	臺南市 南區
2	◎	1	黃偉哲	男	22694	34.49%	民主進步黨	臺南市 北區
3		2	高思博	男	24690	37.52%	中國國民黨	臺南市 北區
4		3	林義豐	男	4510	6.85%	無	臺南市 北區
5		4	許忠信	男	2851	4.33%	無	臺南市 北區
6		5	陳永和	男	8547	12.99%	無	臺南市 北區
7		6	蘇煥智	男	2515	3.82%	無	臺南市 北區
2	◎	1	黃偉哲	男	36754	38.42%	民主進步黨	臺南市 安南區
3		2	高思博	男	27865	29.13%	中國國民黨	臺南市 安南區
4		3	林義豐	男	9225	9.64%	無	臺南市 安南區
5		4	許忠信	男	4807	5.02%	無	臺南市 安南區
6		5	陳永和	男	13357	13.96%	無	臺南市 安南區
7		6	蘇煥智	男	3655	3.82%	無	臺南市 安南區
2	◎	1	黃偉哲	男	10276	34.24%	民主進步黨	臺南市 安平區
3		2	高思博	男	11056	36.84%	中國國民黨	臺南市 安平區
4		3	林義豐	男	2479	8.26%	無	臺南市 安平區
5		4	許忠信	男	1034	3.45%	無	臺南市 安平區
6		5	陳永和	男	4075	13.58%	無	臺南市 安平區
7		6	蘇煥智	男	1088	3.63%	無	臺南市 安平區
2	◎	1	黃偉哲	男	14846	37.54%	民主進步黨	臺南市 中西區
3		2	高思博	男	13835	34.98%	中國國民黨	臺南市 中西區
4		3	林義豐	男	2552	6.45%	無	臺南市 中西區
5		4	許忠信	男	1859	4.70%	無	臺南市 中西區
6		5	陳永和	男	4904	12.40%	無	臺南市 中西區
7		6	蘇煥智	男	1556	3.93%	無	臺南市 中西區
