	註記	號次	姓名	性別	得票數	得票率	推薦之政黨	地區
2		1	宋原通	男	148	1.24%	無	臺中市 大安區
3		2	林佳龍	男	5009	42.13%	民主進步黨	臺中市 大安區
4	◎	3	盧秀燕	女	6732	56.62%	中國國民黨	臺中市 大安區
2		1	宋原通	男	465	1.15%	無	臺中市 烏日區
3		2	林佳龍	男	16911	41.93%	民主進步黨	臺中市 烏日區
4	◎	3	盧秀燕	女	22951	56.91%	中國國民黨	臺中市 烏日區
2		1	宋原通	男	388	1.22%	無	臺中市 大肚區
3		2	林佳龍	男	13558	42.68%	民主進步黨	臺中市 大肚區
4	◎	3	盧秀燕	女	17821	56.10%	中國國民黨	臺中市 大肚區
2		1	宋原通	男	572	1.38%	無	臺中市 龍井區
3		2	林佳龍	男	18048	43.62%	民主進步黨	臺中市 龍井區
4	◎	3	盧秀燕	女	22757	55.00%	中國國民黨	臺中市 龍井區
2		1	宋原通	男	415	1.11%	無	臺中市 霧峰區
3		2	林佳龍	男	16151	43.07%	民主進步黨	臺中市 霧峰區
4	◎	3	盧秀燕	女	20936	55.83%	中國國民黨	臺中市 霧峰區
2		1	宋原通	男	1057	1.12%	無	臺中市 太平區
3		2	林佳龍	男	40025	42.27%	民主進步黨	臺中市 太平區
4	◎	3	盧秀燕	女	53613	56.62%	中國國民黨	臺中市 太平區
2		1	宋原通	男	1202	1.14%	無	臺中市 大里區
3		2	林佳龍	男	46571	44.23%	民主進步黨	臺中市 大里區
4	◎	3	盧秀燕	女	57527	54.63%	中國國民黨	臺中市 大里區
2		1	宋原通	男	71	1.01%	無	臺中市 和平區
3		2	林佳龍	男	2035	28.84%	民主進步黨	臺中市 和平區
4	◎	3	盧秀燕	女	4950	70.15%	中國國民黨	臺中市 和平區
