"X","註記","號次","姓名","性別","得票數","得票率","推薦之政黨","地區"
4,"",3,"黃玉燕","女",93,"2.26%","無","苗栗縣 三灣鄉"
5,"◎",4,"徐耀昌","男",2767,"67.26%","中國國民黨","苗栗縣 三灣鄉"
2,"",1,"朱泰平","男",51,"1.74%","無","苗栗縣 獅潭鄉"
3,"",2,"徐定禎","男",758,"25.85%","無","苗栗縣 獅潭鄉"
4,"",3,"黃玉燕","女",73,"2.49%","無","苗栗縣 獅潭鄉"
5,"◎",4,"徐耀昌","男",2050,"69.92%","中國國民黨","苗栗縣 獅潭鄉"
2,"",1,"朱泰平","男",79,"1.82%","無","苗栗縣 泰安鄉"
3,"",2,"徐定禎","男",1318,"30.38%","無","苗栗縣 泰安鄉"
4,"",3,"黃玉燕","女",112,"2.58%","無","苗栗縣 泰安鄉"
5,"◎",4,"徐耀昌","男",2829,"65.21%","中國國民黨","苗栗縣 泰安鄉"
