"註記","號次","姓名","性別","得票數","得票率","推薦之政黨","縣市","鄉鎮市區"
"118","",3,"白雅燦","男",92,"0.99%","無","彰化縣","大城鄉"
"119","",4,"黃文玲","女",347,"3.74%","無","彰化縣","大城鄉"
"120","",5,"洪敏雄","男",111,"1.20%","無","彰化縣","大城鄉"
"121","",1,"魏明谷","男",4424,"47.20%","民主進步黨","彰化縣","竹塘鄉"
"122","◎",2,"王惠美","女",4333,"46.23%","中國國民黨","彰化縣","竹塘鄉"
"123","",3,"白雅燦","男",89,"0.95%","無","彰化縣","竹塘鄉"
"124","",4,"黃文玲","女",423,"4.51%","無","彰化縣","竹塘鄉"
"125","",5,"洪敏雄","男",104,"1.11%","無","彰化縣","竹塘鄉"
"126","",1,"魏明谷","男",7731,"45.03%","民主進步黨","彰化縣","溪州鄉"
"127","◎",2,"王惠美","女",8290,"48.28%","中國國民黨","彰化縣","溪州鄉"
"128","",3,"白雅燦","男",157,"0.91%","無","彰化縣","溪州鄉"
"129","",4,"黃文玲","女",837,"4.87%","無","彰化縣","溪州鄉"
"130","",5,"洪敏雄","男",155,"0.90%","無","彰化縣","溪州鄉"
"1109","",1,"林佳瑜","男",1055,"1.81%","無","雲林縣","斗六市"
"2103","",2,"李進勇","男",22922,"39.39%","民主進步黨","雲林縣","斗六市"
"3101","",3,"王麗萍","女",2161,"3.71%","無","雲林縣","斗六市"
"490","◎",4,"張麗善","女",32050,"55.08%","中國國民黨","雲林縣","斗六市"
"590","",1,"林佳瑜","男",475,"1.84%","無","雲林縣","斗南鎮"
"659","",2,"李進勇","男",11005,"42.61%","民主進步黨","雲林縣","斗南鎮"
"746","",3,"王麗萍","女",901,"3.49%","無","雲林縣","斗南鎮"
"836","◎",4,"張麗善","女",13445,"52.06%","中國國民黨","雲林縣","斗南鎮"
"934","",1,"林佳瑜","男",743,"1.95%","無","雲林縣","虎尾鎮"
"1030","",2,"李進勇","男",14381,"37.68%","民主進步黨","雲林縣","虎尾鎮"
"1130","",3,"王麗萍","女",1697,"4.45%","無","雲林縣","虎尾鎮"
"1230","◎",4,"張麗善","女",21349,"55.93%","中國國民黨","雲林縣","虎尾鎮"
"1330","",1,"林佳瑜","男",392,"1.52%","無","雲林縣","西螺鎮"
"1430","",2,"李進勇","男",12644,"48.96%","民主進步黨","雲林縣","西螺鎮"
"1528","",3,"王麗萍","女",679,"2.63%","無","雲林縣","西螺鎮"
"1624","◎",4,"張麗善","女",12109,"46.89%","中國國民黨","雲林縣","西螺鎮"
"1720","",1,"林佳瑜","男",275,"1.58%","無","雲林縣","土庫鎮"
"1819","",2,"李進勇","男",6368,"36.69%","民主進步黨","雲林縣","土庫鎮"
"1918","",3,"王麗萍","女",578,"3.33%","無","雲林縣","土庫鎮"
"2018","◎",4,"張麗善","女",10136,"58.40%","中國國民黨","雲林縣","土庫鎮"
"2125","",1,"林佳瑜","男",334,"1.44%","無","雲林縣","北港鎮"
"2220","",2,"李進勇","男",10941,"47.13%","民主進步黨","雲林縣","北港鎮"
"2318","",3,"王麗萍","女",514,"2.21%","無","雲林縣","北港鎮"
"2417","◎",4,"張麗善","女",11426,"49.22%","中國國民黨","雲林縣","北港鎮"
"2517","",1,"林佳瑜","男",283,"1.52%","無","雲林縣","古坑鄉"
"2617","",2,"李進勇","男",7693,"41.45%","民主進步黨","雲林縣","古坑鄉"
"2716","",3,"王麗萍","女",496,"2.67%","無","雲林縣","古坑鄉"
"2816","◎",4,"張麗善","女",10087,"54.35%","中國國民黨","雲林縣","古坑鄉"
"2916","",1,"林佳瑜","男",190,"1.62%","無","雲林縣","大埤鄉"
"3016","",2,"李進勇","男",4860,"41.37%","民主進步黨","雲林縣","大埤鄉"
"3122","",3,"王麗萍","女",359,"3.06%","無","雲林縣","大埤鄉"
"3219","◎",4,"張麗善","女",6339,"53.96%","中國國民黨","雲林縣","大埤鄉"
"3317","",1,"林佳瑜","男",323,"1.84%","無","雲林縣","莿桐鄉"
"3416","",2,"李進勇","男",8445,"48.24%","民主進步黨","雲林縣","莿桐鄉"
"3516","",3,"王麗萍","女",521,"2.98%","無","雲林縣","莿桐鄉"
"3616","◎",4,"張麗善","女",8218,"46.94%","中國國民黨","雲林縣","莿桐鄉"
"3715","",1,"林佳瑜","男",125,"1.19%","無","雲林縣","林內鄉"
"3815","",2,"李進勇","男",4928,"46.72%","民主進步黨","雲林縣","林內鄉"
"3915","",3,"王麗萍","女",260,"2.47%","無","雲林縣","林內鄉"
"4014","◎",4,"張麗善","女",5234,"49.63%","中國國民黨","雲林縣","林內鄉"
"4121","",1,"林佳瑜","男",240,"1.52%","無","雲林縣","二崙鄉"
"4217","",2,"李進勇","男",7708,"48.78%","民主進步黨","雲林縣","二崙鄉"
"4315","",3,"王麗萍","女",392,"2.48%","無","雲林縣","二崙鄉"
"4413","◎",4,"張麗善","女",7461,"47.22%","中國國民黨","雲林縣","二崙鄉"
"4513","",1,"林佳瑜","男",209,"1.44%","無","雲林縣","崙背鄉"
"4613","",2,"李進勇","男",5987,"41.25%","民主進步黨","雲林縣","崙背鄉"
"4713","",3,"王麗萍","女",357,"2.46%","無","雲林縣","崙背鄉"
"4813","◎",4,"張麗善","女",7961,"54.85%","中國國民黨","雲林縣","崙背鄉"
"4913","",1,"林佳瑜","男",340,"1.49%","無","雲林縣","麥寮鄉"
"5013","",2,"李進勇","男",6429,"28.12%","民主進步黨","雲林縣","麥寮鄉"
"5120","",3,"王麗萍","女",542,"2.37%","無","雲林縣","麥寮鄉"
"5217","◎",4,"張麗善","女",15550,"68.02%","中國國民黨","雲林縣","麥寮鄉"
"5313","",1,"林佳瑜","男",117,"1.18%","無","雲林縣","東勢鄉"
"5412","",2,"李進勇","男",3902,"39.49%","民主進步黨","雲林縣","東勢鄉"
"5512","",3,"王麗萍","女",174,"1.76%","無","雲林縣","東勢鄉"
"5612","◎",4,"張麗善","女",5687,"57.56%","中國國民黨","雲林縣","東勢鄉"
"5712","",1,"林佳瑜","男",100,"1.15%","無","雲林縣","褒忠鄉"
"5812","",2,"李進勇","男",3638,"41.81%","民主進步黨","雲林縣","褒忠鄉"
"5911","",3,"王麗萍","女",217,"2.49%","無","雲林縣","褒忠鄉"
"6011","◎",4,"張麗善","女",4746,"54.55%","中國國民黨","雲林縣","褒忠鄉"
"6116","",1,"林佳瑜","男",175,"1.26%","無","雲林縣","臺西鄉"
"6213","",2,"李進勇","男",4600,"33.11%","民主進步黨","雲林縣","臺西鄉"
"6311","",3,"王麗萍","女",283,"2.04%","無","雲林縣","臺西鄉"
"6411","◎",4,"張麗善","女",8833,"63.59%","中國國民黨","雲林縣","臺西鄉"
"6510","",1,"林佳瑜","男",267,"1.75%","無","雲林縣","元長鄉"
"668","",2,"李進勇","男",6483,"42.41%","民主進步黨","雲林縣","元長鄉"
"678","",3,"王麗萍","女",418,"2.73%","無","雲林縣","元長鄉"
"688","◎",4,"張麗善","女",8118,"53.11%","中國國民黨","雲林縣","元長鄉"
"698","",1,"林佳瑜","男",118,"0.95%","無","雲林縣","四湖鄉"
"708","",2,"李進勇","男",5728,"46.04%","民主進步黨","雲林縣","四湖鄉"
"7115","",3,"王麗萍","女",212,"1.70%","無","雲林縣","四湖鄉"
"7212","◎",4,"張麗善","女",6384,"51.31%","中國國民黨","雲林縣","四湖鄉"
"7311","",1,"林佳瑜","男",195,"1.20%","無","雲林縣","口湖鄉"
"747","",2,"李進勇","男",7059,"43.50%","民主進步黨","雲林縣","口湖鄉"
"756","",3,"王麗萍","女",236,"1.45%","無","雲林縣","口湖鄉"
"766","◎",4,"張麗善","女",8739,"53.85%","中國國民黨","雲林縣","口湖鄉"
"776","",1,"林佳瑜","男",207,"1.38%","無","雲林縣","水林鄉"
"786","",2,"李進勇","男",7604,"50.78%","民主進步黨","雲林縣","水林鄉"
"796","",3,"王麗萍","女",264,"1.76%","無","雲林縣","水林鄉"
"806","◎",4,"張麗善","女",6898,"46.07%","中國國民黨","雲林縣","水林鄉"
"1108","",1,"林信華","男",6736,"13.66%","無","宜蘭縣","宜蘭市"
"2102","◎",2,"林姿妙","女",23891,"48.45%","中國國民黨","宜蘭縣","宜蘭市"
"3100","",3,"陳歐珀","男",18033,"36.57%","民主進步黨","宜蘭縣","宜蘭市"
"480","",4,"林錦坤","男",379,"0.77%","無","宜蘭縣","宜蘭市"
"580","",5,"陳秋境","男",270,"0.55%","無","宜蘭縣","宜蘭市"
"650","",1,"林信華","男",3872,"11.06%","無","宜蘭縣","羅東鎮"
"740","◎",2,"林姿妙","女",18457,"52.71%","中國國民黨","宜蘭縣","羅東鎮"
"835","",3,"陳歐珀","男",12395,"35.40%","民主進步黨","宜蘭縣","羅東鎮"
"933","",4,"林錦坤","男",163,"0.47%","無","宜蘭縣","羅東鎮"
"1029","",5,"陳秋境","男",128,"0.37%","無","宜蘭縣","羅東鎮"
"1129","",1,"林信華","男",2266,"9.88%","無","宜蘭縣","蘇澳鎮"
"1229","◎",2,"林姿妙","女",11341,"49.44%","中國國民黨","宜蘭縣","蘇澳鎮"
"1329","",3,"陳歐珀","男",8995,"39.21%","民主進步黨","宜蘭縣","蘇澳鎮"
"1429","",4,"林錦坤","男",185,"0.81%","無","宜蘭縣","蘇澳鎮"
"1527","",5,"陳秋境","男",154,"0.67%","無","宜蘭縣","蘇澳鎮"
"1623","",1,"林信華","男",1415,"8.26%","無","宜蘭縣","頭城鎮"
"1719","◎",2,"林姿妙","女",9405,"54.90%","中國國民黨","宜蘭縣","頭城鎮"
"1818","",3,"陳歐珀","男",5973,"34.87%","民主進步黨","宜蘭縣","頭城鎮"
"1917","",4,"林錦坤","男",167,"0.97%","無","宜蘭縣","頭城鎮"
"2017","",5,"陳秋境","男",171,"1.00%","無","宜蘭縣","頭城鎮"
"2124","",1,"林信華","男",2314,"10.95%","無","宜蘭縣","礁溪鄉"
"2219","◎",2,"林姿妙","女",9698,"45.91%","中國國民黨","宜蘭縣","礁溪鄉"
"2317","",3,"陳歐珀","男",8797,"41.65%","民主進步黨","宜蘭縣","礁溪鄉"
"2416","",4,"林錦坤","男",194,"0.92%","無","宜蘭縣","礁溪鄉"
"2516","",5,"陳秋境","男",120,"0.57%","無","宜蘭縣","礁溪鄉"
"2616","",1,"林信華","男",1581,"10.34%","無","宜蘭縣","壯圍鄉"
"2715","◎",2,"林姿妙","女",6978,"45.66%","中國國民黨","宜蘭縣","壯圍鄉"
"2815","",3,"陳歐珀","男",6509,"42.59%","民主進步黨","宜蘭縣","壯圍鄉"
"2915","",4,"林錦坤","男",125,"0.82%","無","宜蘭縣","壯圍鄉"
"3015","",5,"陳秋境","男",90,"0.59%","無","宜蘭縣","壯圍鄉"
"3121","",1,"林信華","男",1974,"10.77%","無","宜蘭縣","員山鄉"
"3218","◎",2,"林姿妙","女",7844,"42.78%","中國國民黨","宜蘭縣","員山鄉"
"3316","",3,"陳歐珀","男",8154,"44.47%","民主進步黨","宜蘭縣","員山鄉"
"3415","",4,"林錦坤","男",264,"1.44%","無","宜蘭縣","員山鄉"
"3515","",5,"陳秋境","男",101,"0.55%","無","宜蘭縣","員山鄉"
"3615","",1,"林信華","男",3138,"10.94%","無","宜蘭縣","冬山鄉"
"3714","◎",2,"林姿妙","女",13141,"45.83%","中國國民黨","宜蘭縣","冬山鄉"
"3814","",3,"陳歐珀","男",12023,"41.93%","民主進步黨","宜蘭縣","冬山鄉"
"3914","",4,"林錦坤","男",206,"0.72%","無","宜蘭縣","冬山鄉"
"4013","",5,"陳秋境","男",168,"0.59%","無","宜蘭縣","冬山鄉"
"4120","",1,"林信華","男",2605,"11.84%","無","宜蘭縣","五結鄉"
"4216","◎",2,"林姿妙","女",10354,"47.07%","中國國民黨","宜蘭縣","五結鄉"
"4314","",3,"陳歐珀","男",8782,"39.93%","民主進步黨","宜蘭縣","五結鄉"
"4412","",4,"林錦坤","男",142,"0.65%","無","宜蘭縣","五結鄉"
"4512","",5,"陳秋境","男",112,"0.51%","無","宜蘭縣","五結鄉"
"4612","",1,"林信華","男",1235,"9.69%","無","宜蘭縣","三星鄉"
"4712","◎",2,"林姿妙","女",6053,"47.48%","中國國民黨","宜蘭縣","三星鄉"
"4812","",3,"陳歐珀","男",5314,"41.68%","民主進步黨","宜蘭縣","三星鄉"
"4912","",4,"林錦坤","男",74,"0.58%","無","宜蘭縣","三星鄉"
"5012","",5,"陳秋境","男",72,"0.56%","無","宜蘭縣","三星鄉"
"5119","",1,"林信華","男",149,"3.81%","無","宜蘭縣","大同鄉"
"5216","◎",2,"林姿妙","女",3360,"86.02%","中國國民黨","宜蘭縣","大同鄉"
"5312","",3,"陳歐珀","男",374,"9.58%","民主進步黨","宜蘭縣","大同鄉"
"5411","",4,"林錦坤","男",9,"0.23%","無","宜蘭縣","大同鄉"
"5511","",5,"陳秋境","男",14,"0.36%","無","宜蘭縣","大同鄉"
"5611","",1,"林信華","男",114,"3.12%","無","宜蘭縣","南澳鄉"
"5711","◎",2,"林姿妙","女",3245,"88.73%","中國國民黨","宜蘭縣","南澳鄉"
"5811","",3,"陳歐珀","男",260,"7.11%","民主進步黨","宜蘭縣","南澳鄉"
"5910","",4,"林錦坤","男",14,"0.38%","無","宜蘭縣","南澳鄉"
"6010","",5,"陳秋境","男",24,"0.66%","無","宜蘭縣","南澳鄉"
"1107","◎",1,"楊文科","男",27664,"33.50%","中國國民黨","新竹縣","竹北市"
"2100","",2,"葉芳棟","男",1901,"2.30%","無","新竹縣","竹北市"
"390","",3,"鄭朝方","男",21725,"26.31%","民主進步黨","新竹縣","竹北市"
"470","",4,"徐欣瑩","女",31292,"37.89%","民國黨","新竹縣","竹北市"
"570","◎",1,"楊文科","男",19629,"42.05%","中國國民黨","新竹縣","竹東鎮"
"649","",2,"葉芳棟","男",792,"1.70%","無","新竹縣","竹東鎮"
"739","",3,"鄭朝方","男",13531,"28.99%","民主進步黨","新竹縣","竹東鎮"
"834","",4,"徐欣瑩","女",12724,"27.26%","民國黨","新竹縣","竹東鎮"
"930","◎",1,"楊文科","男",6982,"35.99%","中國國民黨","新竹縣","新埔鎮"
"1028","",2,"葉芳棟","男",317,"1.63%","無","新竹縣","新埔鎮"
"1128","",3,"鄭朝方","男",6239,"32.16%","民主進步黨","新竹縣","新埔鎮"
"1228","",4,"徐欣瑩","女",5861,"30.21%","民國黨","新竹縣","新埔鎮"
"1328","◎",1,"楊文科","男",6017,"35.70%","中國國民黨","新竹縣","關西鎮"
"1428","",2,"葉芳棟","男",217,"1.29%","無","新竹縣","關西鎮"
"1526","",3,"鄭朝方","男",4905,"29.10%","民主進步黨","新竹縣","關西鎮"
"1622","",4,"徐欣瑩","女",5715,"33.91%","民國黨","新竹縣","關西鎮"
"1718","◎",1,"楊文科","男",15866,"39.87%","中國國民黨","新竹縣","湖口鄉"
"1817","",2,"葉芳棟","男",702,"1.76%","無","新竹縣","湖口鄉"
"1916","",3,"鄭朝方","男",10043,"25.24%","民主進步黨","新竹縣","湖口鄉"
"2016","",4,"徐欣瑩","女",13182,"33.13%","民國黨","新竹縣","湖口鄉"
"2123","◎",1,"楊文科","男",9826,"33.97%","中國國民黨","新竹縣","新豐鄉"
"2218","",2,"葉芳棟","男",475,"1.64%","無","新竹縣","新豐鄉"
"2316","",3,"鄭朝方","男",7930,"27.42%","民主進步黨","新竹縣","新豐鄉"
"2415","",4,"徐欣瑩","女",10694,"36.97%","民國黨","新竹縣","新豐鄉"
"2515","◎",1,"楊文科","男",4876,"40.07%","中國國民黨","新竹縣","芎林鄉"
"2615","",2,"葉芳棟","男",216,"1.78%","無","新竹縣","芎林鄉"
"2714","",3,"鄭朝方","男",3702,"30.42%","民主進步黨","新竹縣","芎林鄉"
"2814","",4,"徐欣瑩","女",3374,"27.73%","民國黨","新竹縣","芎林鄉"
"2914","◎",1,"楊文科","男",3624,"44.23%","中國國民黨","新竹縣","橫山鄉"
"3014","",2,"葉芳棟","男",152,"1.86%","無","新竹縣","橫山鄉"
"3120","",3,"鄭朝方","男",2278,"27.80%","民主進步黨","新竹縣","橫山鄉"
"3217","",4,"徐欣瑩","女",2140,"26.12%","民國黨","新竹縣","橫山鄉"
"3315","◎",1,"楊文科","男",2769,"46.27%","中國國民黨","新竹縣","北埔鄉"
"3414","",2,"葉芳棟","男",115,"1.92%","無","新竹縣","北埔鄉"
"3514","",3,"鄭朝方","男",1741,"29.09%","民主進步黨","新竹縣","北埔鄉"
"3614","",4,"徐欣瑩","女",1359,"22.71%","民國黨","新竹縣","北埔鄉"
"3713","◎",1,"楊文科","男",4172,"45.93%","中國國民黨","新竹縣","寶山鄉"
"3813","",2,"葉芳棟","男",133,"1.46%","無","新竹縣","寶山鄉"
"3913","",3,"鄭朝方","男",2465,"27.14%","民主進步黨","新竹縣","寶山鄉"
"4012","",4,"徐欣瑩","女",2313,"25.47%","民國黨","新竹縣","寶山鄉"
"4119","◎",1,"楊文科","男",2218,"53.52%","中國國民黨","新竹縣","峨眉鄉"
"4215","",2,"葉芳棟","男",57,"1.38%","無","新竹縣","峨眉鄉"
"4313","",3,"鄭朝方","男",1123,"27.10%","民主進步黨","新竹縣","峨眉鄉"
"4411","",4,"徐欣瑩","女",746,"18.00%","民國黨","新竹縣","峨眉鄉"
"4511","◎",1,"楊文科","男",2836,"51.39%","中國國民黨","新竹縣","尖石鄉"
"4611","",2,"葉芳棟","男",68,"1.23%","無","新竹縣","尖石鄉"
"4711","",3,"鄭朝方","男",1525,"27.63%","民主進步黨","新竹縣","尖石鄉"
"4811","",4,"徐欣瑩","女",1090,"19.75%","民國黨","新竹縣","尖石鄉"
"4911","◎",1,"楊文科","男",1398,"45.33%","中國國民黨","新竹縣","五峰鄉"
"5011","",2,"葉芳棟","男",23,"0.75%","無","新竹縣","五峰鄉"
"5118","",3,"鄭朝方","男",963,"31.23%","民主進步黨","新竹縣","五峰鄉"
"5215","",4,"徐欣瑩","女",700,"22.70%","民國黨","新竹縣","五峰鄉"
"1106","",1,"謝文進","男",19364,"19.45%","無","新竹市","在東區"
