"X","註記","號次","姓名","性別","得票數","得票率","推薦之政黨","地區"
"159",4,"",3,"林義豐","男",3522,"8.71%","無","臺南市 仁德區"
"160",5,"",4,"許忠信","男",1537,"3.80%","無","臺南市 仁德區"
"161",6,"",5,"陳永和","男",5911,"14.63%","無","臺南市 仁德區"
"162",7,"",6,"蘇煥智","男",1846,"4.57%","無","臺南市 仁德區"
"163",2,"◎",1,"黃偉哲","男",13413,"37.57%","民主進步黨","臺南市 歸仁區"
"164",3,"",2,"高思博","男",9264,"25.95%","中國國民黨","臺南市 歸仁區"
"165",4,"",3,"林義豐","男",2942,"8.24%","無","臺南市 歸仁區"
"166",5,"",4,"許忠信","男",1292,"3.62%","無","臺南市 歸仁區"
"167",6,"",5,"陳永和","男",7202,"20.17%","無","臺南市 歸仁區"
"168",7,"",6,"蘇煥智","男",1588,"4.45%","無","臺南市 歸仁區"
"169",2,"◎",1,"黃偉哲","男",7670,"37.11%","民主進步黨","臺南市 關廟區"
"170",3,"",2,"高思博","男",5323,"25.76%","中國國民黨","臺南市 關廟區"
"171",4,"",3,"林義豐","男",1580,"7.65%","無","臺南市 關廟區"
"172",5,"",4,"許忠信","男",573,"2.77%","無","臺南市 關廟區"
"173",6,"",5,"陳永和","男",4778,"23.12%","無","臺南市 關廟區"
"174",7,"",6,"蘇煥智","男",742,"3.59%","無","臺南市 關廟區"
"175",2,"◎",1,"黃偉哲","男",814,"29.24%","民主進步黨","臺南市 龍崎區"
"176",3,"",2,"高思博","男",676,"24.28%","中國國民黨","臺南市 龍崎區"
"177",4,"",3,"林義豐","男",180,"6.47%","無","臺南市 龍崎區"
"178",5,"",4,"許忠信","男",82,"2.95%","無","臺南市 龍崎區"
"179",6,"",5,"陳永和","男",917,"32.94%","無","臺南市 龍崎區"
"180",7,"",6,"蘇煥智","男",115,"4.13%","無","臺南市 龍崎區"
"181",2,"◎",1,"黃偉哲","男",38762,"34.70%","民主進步黨","臺南市 永康區"
"182",3,"",2,"高思博","男",38892,"34.81%","中國國民黨","臺南市 永康區"
"183",4,"",3,"林義豐","男",9587,"8.58%","無","臺南市 永康區"
"184",5,"",4,"許忠信","男",4676,"4.19%","無","臺南市 永康區"
"185",6,"",5,"陳永和","男",15007,"13.43%","無","臺南市 永康區"
"186",7,"",6,"蘇煥智","男",4787,"4.29%","無","臺南市 永康區"
"187",2,"◎",1,"黃偉哲","男",28636,"32.27%","民主進步黨","臺南市 在東區"
"188",3,"",2,"高思博","男",36041,"40.61%","中國國民黨","臺南市 在東區"
"189",4,"",3,"林義豐","男",5457,"6.15%","無","臺南市 在東區"
"190",5,"",4,"許忠信","男",3522,"3.97%","無","臺南市 在東區"
"191",6,"",5,"陳永和","男",11681,"13.16%","無","臺南市 在東區"
"192",7,"",6,"蘇煥智","男",3410,"3.84%","無","臺南市 在東區"
"193",2,"◎",1,"黃偉哲","男",25068,"39.35%","民主進步黨","臺南市 在南區"
"194",3,"",2,"高思博","男",21036,"33.02%","中國國民黨","臺南市 在南區"
"195",4,"",3,"林義豐","男",5430,"8.52%","無","臺南市 在南區"
"196",5,"",4,"許忠信","男",2585,"4.06%","無","臺南市 在南區"
"197",6,"",5,"陳永和","男",7661,"12.03%","無","臺南市 在南區"
"198",7,"",6,"蘇煥智","男",1925,"3.02%","無","臺南市 在南區"
"199",2,"◎",1,"黃偉哲","男",22694,"34.49%","民主進步黨","臺南市 在北區"
"200",3,"",2,"高思博","男",24690,"37.52%","中國國民黨","臺南市 在北區"
"201",4,"",3,"林義豐","男",4510,"6.85%","無","臺南市 在北區"
"202",5,"",4,"許忠信","男",2851,"4.33%","無","臺南市 在北區"
"203",6,"",5,"陳永和","男",8547,"12.99%","無","臺南市 在北區"
"204",7,"",6,"蘇煥智","男",2515,"3.82%","無","臺南市 在北區"
"205",2,"◎",1,"黃偉哲","男",36754,"38.42%","民主進步黨","臺南市 安南區"
"206",3,"",2,"高思博","男",27865,"29.13%","中國國民黨","臺南市 安南區"
"207",4,"",3,"林義豐","男",9225,"9.64%","無","臺南市 安南區"
"208",5,"",4,"許忠信","男",4807,"5.02%","無","臺南市 安南區"
"209",6,"",5,"陳永和","男",13357,"13.96%","無","臺南市 安南區"
"210",7,"",6,"蘇煥智","男",3655,"3.82%","無","臺南市 安南區"
"211",2,"◎",1,"黃偉哲","男",10276,"34.24%","民主進步黨","臺南市 安平區"
"212",3,"",2,"高思博","男",11056,"36.84%","中國國民黨","臺南市 安平區"
"213",4,"",3,"林義豐","男",2479,"8.26%","無","臺南市 安平區"
"214",5,"",4,"許忠信","男",1034,"3.45%","無","臺南市 安平區"
"215",6,"",5,"陳永和","男",4075,"13.58%","無","臺南市 安平區"
"216",7,"",6,"蘇煥智","男",1088,"3.63%","無","臺南市 安平區"
"217",2,"◎",1,"黃偉哲","男",14846,"37.54%","民主進步黨","臺南市 中西區"
"218",3,"",2,"高思博","男",13835,"34.98%","中國國民黨","臺南市 中西區"
"219",4,"",3,"林義豐","男",2552,"6.45%","無","臺南市 中西區"
"220",5,"",4,"許忠信","男",1859,"4.70%","無","臺南市 中西區"
"221",6,"",5,"陳永和","男",4904,"12.40%","無","臺南市 中西區"
"222",7,"",6,"蘇煥智","男",1556,"3.93%","無","臺南市 中西區"
