"X","註記","號次","姓名","性別","得票數","得票率","推薦之政黨","地區"
"24",4,"◎",3,"盧秀燕","女",84485,"60.67%","中國國民黨","臺中市 北屯區"
"25",2,"",1,"宋原通","男",986,"1.10%","無","臺中市 豐原區"
"26",3,"",2,"林佳龍","男",42504,"47.27%","民主進步黨","臺中市 豐原區"
"27",4,"◎",3,"盧秀燕","女",46436,"51.64%","中國國民黨","臺中市 豐原區"
"28",2,"",1,"宋原通","男",330,"1.13%","無","臺中市 東勢區"
"29",3,"",2,"林佳龍","男",10727,"36.64%","民主進步黨","臺中市 東勢區"
"30",4,"◎",3,"盧秀燕","女",18216,"62.23%","中國國民黨","臺中市 東勢區"
"31",2,"",1,"宋原通","男",484,"1.15%","無","臺中市 大甲區"
"32",3,"",2,"林佳龍","男",18523,"44.14%","民主進步黨","臺中市 大甲區"
"33",4,"◎",3,"盧秀燕","女",22958,"54.71%","中國國民黨","臺中市 大甲區"
"34",2,"",1,"宋原通","男",525,"1.07%","無","臺中市 清水區"
"35",3,"",2,"林佳龍","男",22912,"46.80%","民主進步黨","臺中市 清水區"
"36",4,"◎",3,"盧秀燕","女",25523,"52.13%","中國國民黨","臺中市 清水區"
"37",2,"",1,"宋原通","男",530,"1.10%","無","臺中市 沙鹿區"
"38",3,"",2,"林佳龍","男",20835,"43.27%","民主進步黨","臺中市 沙鹿區"
"39",4,"◎",3,"盧秀燕","女",26784,"55.63%","中國國民黨","臺中市 沙鹿區"
"40",2,"",1,"宋原通","男",365,"1.19%","無","臺中市 梧棲區"
"41",3,"",2,"林佳龍","男",14663,"47.67%","民主進步黨","臺中市 梧棲區"
"42",4,"◎",3,"盧秀燕","女",15729,"51.14%","中國國民黨","臺中市 梧棲區"
"43",2,"",1,"宋原通","男",420,"1.36%","無","臺中市 后里區"
"44",3,"",2,"林佳龍","男",12815,"41.46%","民主進步黨","臺中市 后里區"
"45",4,"◎",3,"盧秀燕","女",17677,"57.18%","中國國民黨","臺中市 后里區"
"46",2,"",1,"宋原通","男",424,"1.16%","無","臺中市 神岡區"
"47",3,"",2,"林佳龍","男",18095,"49.65%","民主進步黨","臺中市 神岡區"
"48",4,"◎",3,"盧秀燕","女",17928,"49.19%","中國國民黨","臺中市 神岡區"
"49",2,"",1,"宋原通","男",581,"1.01%","無","臺中市 潭子區"
"50",3,"",2,"林佳龍","男",24836,"43.30%","民主進步黨","臺中市 潭子區"
"51",4,"◎",3,"盧秀燕","女",31938,"55.68%","中國國民黨","臺中市 潭子區"
"52",2,"",1,"宋原通","男",592,"1.21%","無","臺中市 大雅區"
"53",3,"",2,"林佳龍","男",20342,"41.74%","民主進步黨","臺中市 大雅區"
"54",4,"◎",3,"盧秀燕","女",27797,"57.04%","中國國民黨","臺中市 大雅區"
"55",2,"",1,"宋原通","男",209,"1.39%","無","臺中市 新社區"
"56",3,"",2,"林佳龍","男",6009,"40.10%","民主進步黨","臺中市 新社區"
"57",4,"◎",3,"盧秀燕","女",8767,"58.51%","中國國民黨","臺中市 新社區"
"58",2,"",1,"宋原通","男",110,"1.21%","無","臺中市 石岡區"
"59",3,"",2,"林佳龍","男",3571,"39.35%","民主進步黨","臺中市 石岡區"
"60",4,"◎",3,"盧秀燕","女",5393,"59.43%","中國國民黨","臺中市 石岡區"
"61",2,"",1,"宋原通","男",215,"1.17%","無","臺中市 外埔區"
"62",3,"",2,"林佳龍","男",7124,"38.76%","民主進步黨","臺中市 外埔區"
"63",4,"◎",3,"盧秀燕","女",11040,"60.07%","中國國民黨","臺中市 外埔區"
"64",2,"",1,"宋原通","男",148,"1.24%","無","臺中市 大安區"
"65",3,"",2,"林佳龍","男",5009,"42.13%","民主進步黨","臺中市 大安區"
"66",4,"◎",3,"盧秀燕","女",6732,"56.62%","中國國民黨","臺中市 大安區"
"67",2,"",1,"宋原通","男",465,"1.15%","無","臺中市 烏日區"
"68",3,"",2,"林佳龍","男",16911,"41.93%","民主進步黨","臺中市 烏日區"
"69",4,"◎",3,"盧秀燕","女",22951,"56.91%","中國國民黨","臺中市 烏日區"
"70",2,"",1,"宋原通","男",388,"1.22%","無","臺中市 大肚區"
"71",3,"",2,"林佳龍","男",13558,"42.68%","民主進步黨","臺中市 大肚區"
"72",4,"◎",3,"盧秀燕","女",17821,"56.10%","中國國民黨","臺中市 大肚區"
"73",2,"",1,"宋原通","男",572,"1.38%","無","臺中市 龍井區"
"74",3,"",2,"林佳龍","男",18048,"43.62%","民主進步黨","臺中市 龍井區"
"75",4,"◎",3,"盧秀燕","女",22757,"55.00%","中國國民黨","臺中市 龍井區"
"76",2,"",1,"宋原通","男",415,"1.11%","無","臺中市 霧峰區"
"77",3,"",2,"林佳龍","男",16151,"43.07%","民主進步黨","臺中市 霧峰區"
"78",4,"◎",3,"盧秀燕","女",20936,"55.83%","中國國民黨","臺中市 霧峰區"
"79",2,"",1,"宋原通","男",1057,"1.12%","無","臺中市 太平區"
"80",3,"",2,"林佳龍","男",40025,"42.27%","民主進步黨","臺中市 太平區"
"81",4,"◎",3,"盧秀燕","女",53613,"56.62%","中國國民黨","臺中市 太平區"
"82",2,"",1,"宋原通","男",1202,"1.14%","無","臺中市 大里區"
"83",3,"",2,"林佳龍","男",46571,"44.23%","民主進步黨","臺中市 大里區"
"84",4,"◎",3,"盧秀燕","女",57527,"54.63%","中國國民黨","臺中市 大里區"
"85",2,"",1,"宋原通","男",71,"1.01%","無","臺中市 和平區"
"86",3,"",2,"林佳龍","男",2035,"28.84%","民主進步黨","臺中市 和平區"
"87",4,"◎",3,"盧秀燕","女",4950,"70.15%","中國國民黨","臺中市 和平區"
