"X","註記","號次","姓名","性別","得票數","得票率","推薦之政黨","地區"
2,"◎",1,"韓國瑜","男",2339,"60.17%","中國國民黨","高雄市 甲仙區"
3,"",2,"陳其邁","男",1483,"38.15%","民主進步黨","高雄市 甲仙區"
4,"",3,"璩美鳳","女",35,"0.90%","無","高雄市 甲仙區"
5,"",4,"蘇盈貴","男",30,"0.77%","無","高雄市 甲仙區"
2,"◎",1,"韓國瑜","男",4129,"56.45%","中國國民黨","高雄市 杉林區"
3,"",2,"陳其邁","男",3076,"42.05%","民主進步黨","高雄市 杉林區"
4,"",3,"璩美鳳","女",53,"0.72%","無","高雄市 杉林區"
5,"",4,"蘇盈貴","男",57,"0.78%","無","高雄市 杉林區"
2,"◎",1,"韓國瑜","男",5446,"53.81%","中國國民黨","高雄市 內門區"
3,"",2,"陳其邁","男",4510,"44.57%","民主進步黨","高雄市 內門區"
4,"",3,"璩美鳳","女",85,"0.84%","無","高雄市 內門區"
5,"",4,"蘇盈貴","男",79,"0.78%","無","高雄市 內門區"
2,"◎",1,"韓國瑜","男",1281,"91.83%","中國國民黨","高雄市 茂林區"
3,"",2,"陳其邁","男",107,"7.67%","民主進步黨","高雄市 茂林區"
4,"",3,"璩美鳳","女",6,"0.43%","無","高雄市 茂林區"
5,"",4,"蘇盈貴","男",1,"0.07%","無","高雄市 茂林區"
2,"◎",1,"韓國瑜","男",2519,"88.51%","中國國民黨","高雄市 桃源區"
3,"",2,"陳其邁","男",304,"10.68%","民主進步黨","高雄市 桃源區"
4,"",3,"璩美鳳","女",14,"0.49%","無","高雄市 桃源區"
5,"",4,"蘇盈貴","男",9,"0.32%","無","高雄市 桃源區"
2,"◎",1,"韓國瑜","男",1751,"85.08%","中國國民黨","高雄市 那瑪夏區"
3,"",2,"陳其邁","男",295,"14.33%","民主進步黨","高雄市 那瑪夏區"
4,"",3,"璩美鳳","女",10,"0.49%","無","高雄市 那瑪夏區"
5,"",4,"蘇盈貴","男",2,"0.10%","無","高雄市 那瑪夏區"
