"","案件","縣市","地區","同意票數","不同意票數","有效票數","無效票數","投票數","投票權人數","投票率...","有效同意票數對投票權人數百分比...","有效不同意票數對投票權人數百分比...","有效同意與不同意票數對投票權人數百分比...差值","同意票數對票數比率","縣市首長得票率","縣市首長得票數","公投同意率對縣市首長得票率差距"
"35","第7案","新竹縣","橫山鄉","5,073","1,166","6,239","430","6,669","11,346","58.78%","44.71%","10.28%",34.43,0.8131,0.4423,3624,0.3708
"36","第7案","新竹縣","北埔鄉","3,535","782","4,317","227","4,544","8,180","55.55%","43.22%","9.56%",33.66,0.8189,0.4627,2769,0.3562
"37","第7案","新竹縣","寶山鄉","5,773","1,417","7,190","398","7,588","12,973","58.49%","44.5%","10.92%",33.58,0.8029,0.4593,4172,0.3436
"38","第7案","新竹縣","峨眉鄉","2,238","570","2,808","242","3,050","5,068","60.18%","44.16%","11.25%",32.91,0.797,0.5352,2218,0.2618
"39","第7案","新竹縣","尖石鄉","2,358","565","2,923","210","3,133","7,364","42.54%","32.02%","7.67%",24.35,0.8067,0.5139,2836,0.2928
"40","第7案","新竹縣","五峰鄉","1,242","331","1,573","75","1,648","3,997","41.23%","31.07%","8.28%",22.79,0.7896,0.4533,1398,0.3363
"41","第7案","苗栗縣","","198,009","47,324","245,333","15,647","260,980","461,580","56.54%","42.9%","10.25%",32.65,0.8071,NA,NA,NA
"42","第7案","苗栗縣","苗栗市","33,815","7,069","40,884","1,931","42,815","74,249","57.66%","45.54%","9.52%",36.02,0.8271,0.6127,28376,0.2144
"43","第7案","苗栗縣","苑裡鎮","15,998","4,451","20,449","1,621","22,070","38,890","56.75%","41.14%","11.45%",29.69,0.7823,0.5492,14322,0.2331
"44","第7案","苗栗縣","通霄鎮","11,314","3,282","14,596","1,351","15,947","29,709","53.68%","38.08%","11.05%",27.03,0.7751,0.4322,8970,0.3429
"45","第7案","苗栗縣","竹南鎮","29,221","6,996","36,217","2,120","38,337","68,528","55.94%","42.64%","10.21%",32.43,0.8068,0.5416,22785,0.2652
"46","第7案","苗栗縣","頭份市","36,143","8,496","44,639","2,330","46,969","83,617","56.17%","43.22%","10.16%",33.06,0.8097,0.6189,32143,0.1908
"47","第7案","苗栗縣","後龍鎮","12,288","3,270","15,558","1,426","16,984","30,948","54.88%","39.71%","10.57%",29.14,0.7898,0.4467,9556,0.3431
"48","第7案","苗栗縣","卓蘭鎮","6,482","1,521","8,003","538","8,541","14,772","57.82%","43.88%","10.30%",33.58,0.8099,0.6194,6717,0.1905
"49","第7案","苗栗縣","大湖鄉","5,128","1,137","6,265","458","6,723","12,653","53.13%","40.53%","8.99%",31.54,0.8185,0.6184,5382,0.2001
"50","第7案","苗栗縣","公館鄉","12,634","3,027","15,661","1,054","16,715","28,318","59.03%","44.61%","10.69%",33.92,0.8067,0.614,11545,0.1927
"51","第7案","苗栗縣","銅鑼鄉","6,726","1,472","8,198","444","8,642","15,424","56.03%","43.61%","9.54%",34.07,0.8204,0.5922,6331,0.2282
"52","第7案","苗栗縣","南庄鄉","3,104","893","3,997","311","4,308","8,784","49.04%","35.34%","10.17%",25.17,0.7766,0.6642,4014,0.1124
"53","第7案","苗栗縣","頭屋鄉","4,766","1,012","5,778","308","6,086","9,390","64.81%","50.76%","10.78%",39.98,0.8249,0.6546,4863,0.1703
"54","第7案","苗栗縣","三義鄉","6,388","1,334","7,722","413","8,135","13,889","58.57%","45.99%","9.60%",36.39,0.8272,0.5908,5845,0.2364
"55","第7案","苗栗縣","西湖鄉","2,724","617","3,341","184","3,525","6,382","55.23%","42.68%","9.67%",33.01,0.8153,0.601,2817,0.2143
"56","第7案","苗栗縣","造橋鄉","4,744","1,156","5,900","515","6,415","11,027","58.18%","43.02%","10.48%",32.54,0.8041,0.6051,4444,0.199
"57","第7案","苗栗縣","三灣鄉","2,464","651","3,115","260","3,375","5,852","57.67%","42.11%","11.12%",30.99,0.791,0.6726,2767,0.1184
"58","第7案","苗栗縣","獅潭鄉","1,552","324","1,876","143","2,019","3,968","50.88%","39.11%","8.17%",30.94,0.8273,0.6992,2050,0.1281
"59","第7案","苗栗縣","泰安鄉","2,518","616","3,134","240","3,374","5,180","65.14%","48.61%","11.89%",36.72,0.8034,0.6521,2829,0.1513
"60","第7案","彰化縣","","452,334","111,030","563,364","45,223","608,587","1,066,994","57.04%","42.39%","10.41%",31.98,0.8029,NA,NA,NA
"61","第7案","彰化縣","彰化市","85,910","21,752","107,662","7,322","114,984","190,995","60.2%","44.98%","11.39%",33.59,0.798,0.5312,65874,0.2668
"62","第7案","彰化縣","鹿港鎮","30,219","7,228","37,447","3,228","40,675","70,505","57.69%","42.86%","10.25%",32.61,0.807,0.578,27397,0.229
"63","第7案","彰化縣","和美鎮","32,445","7,579","40,024","2,554","42,578","75,286","56.56%","43.1%","10.07%",33.03,0.8106,0.5904,29004,0.2202
"64","第7案","彰化縣","線西鄉","6,361","1,367","7,728","637","8,365","14,065","59.47%","45.23%","9.72%",35.51,0.8231,0.6682,6615,0.1549
"65","第7案","彰化縣","伸港鄉","13,300","2,650","15,950","1,254","17,204","30,407","56.58%","43.74%","8.72%",35.02,0.8339,0.623,12781,0.2109
"66","第7案","彰化縣","福興鄉","15,627","3,996","19,623","1,927","21,550","39,745","54.22%","39.32%","10.05%",29.27,0.7964,0.5765,15125,0.2199
"67","第7案","彰化縣","秀水鄉","14,290","3,569","17,859","1,289","19,148","32,394","59.11%","44.11%","11.02%",33.09,0.8002,0.589,13132,0.2112
"68","第7案","彰化縣","花壇鄉","16,953","4,059","21,012","1,692","22,704","38,924","58.33%","43.55%","10.43%",33.12,0.8068,0.5534,14443,0.2534
"69","第7案","彰化縣","芬園鄉","8,346","1,976","10,322","960","11,282","20,408","55.28%","40.9%","9.68%",31.22,0.8086,0.4737,6594,0.3349
"70","第7案","彰化縣","員林市","43,129","10,985","54,114","3,431","57,545","102,028","56.4%","42.27%","10.77%",31.5,0.797,0.4995,31949,0.2975
"71","第7案","彰化縣","溪湖鎮","19,566","4,696","24,262","1,832","26,094","45,147","57.8%","43.34%","10.40%",32.94,0.8064,0.5367,16431,0.2697
"72","第7案","彰化縣","田中鎮","14,996","3,604","18,600","1,687","20,287","35,391","57.32%","42.37%","10.18%",32.19,0.8062,0.4906,11340,0.3156
"73","第7案","彰化縣","大村鄉","13,893","3,300","17,193","1,265","18,458","31,492","58.61%","44.12%","10.48%",33.64,0.8081,0.5073,10826,0.3008
"74","第7案","彰化縣","埔鹽鄉","12,676","2,865","15,541","1,323","16,864","28,026","60.17%","45.23%","10.22%",35.01,0.8156,0.6082,12415,0.2074
"75","第7案","彰化縣","埔心鄉","13,153","3,544","16,697","1,503","18,200","29,642","61.4%","44.37%","11.96%",32.41,0.7877,0.4738,9694,0.3139
"76","第7案","彰化縣","永靖鄉","13,632","3,376","17,008","1,436","18,444","31,239","59.04%","43.64%","10.81%",32.83,0.8015,0.4677,10057,0.3338
"77","第7案","彰化縣","社頭鄉","15,452","3,889","19,341","1,416","20,757","36,306","57.17%","42.56%","10.71%",31.85,0.7989,0.4804,11703,0.3185
"78","第7案","彰化縣","二水鄉","5,683","1,607","7,290","694","7,984","13,339","59.85%","42.6%","12.05%",30.55,0.7796,0.4579,4452,0.3217
"79","第7案","彰化縣","北斗鎮","11,915","2,859","14,774","1,294","16,068","27,593","58.23%","43.18%","10.36%",32.82,0.8065,0.4947,9082,0.3118
"80","第7案","彰化縣","二林鎮","16,535","3,868","20,403","1,952","22,355","42,976","52.02%","38.47%","9.00%",29.47,0.8104,0.5442,15652,0.2662
"81","第7案","彰化縣","田尾鄉","10,126","2,487","12,613","1,014","13,627","23,179","58.79%","43.69%","10.73%",32.96,0.8028,0.4986,7946,0.3042
"82","第7案","彰化縣","埤頭鄉","9,819","2,728","12,547","1,343","13,890","25,677","54.1%","38.24%","10.62%",27.62,0.7826,0.5067,8548,0.2759
"83","第7案","彰化縣","芳苑鄉","10,149","2,400","12,549","1,685","14,234","29,291","48.6%","34.65%","8.19%",26.46,0.8087,0.4778,9404,0.3309
"84","第7案","彰化縣","大城鄉","4,053","953","5,006","598","5,604","14,713","38.09%","27.55%","6.48%",21.07,0.8096,0.5078,4708,0.3018
"85","第7案","彰化縣","竹塘鄉","4,837","1,264","6,101","710","6,811","12,821","53.12%","37.73%","9.86%",27.87,0.7928,0.4623,4333,0.3305
"86","第7案","彰化縣","溪州鄉","9,269","2,429","11,698","1,177","12,875","25,405","50.68%","36.48%","9.56%",26.92,0.7924,0.4828,8290,0.3096
"87","第7案","南投縣","","187,162","41,641","228,803","15,881","244,684","427,089","57.29%","43.82%","9.75%",34.07,0.818,NA,NA,NA
"88","第7案","南投縣","南投市","39,753","8,588","48,341","2,677","51,018","84,328","60.5%","47.14%","10.18%",36.96,0.8223,0.6802,39008,0.1421
"89","第7案","南投縣","埔里鎮","30,711","6,093","36,804","2,423","39,227","68,763","57.05%","44.66%","8.86%",35.8,0.8344,0.7004,31617,0.134
"90","第7案","南投縣","草屯鎮","37,026","8,133","45,159","2,518","47,677","82,922","57.5%","44.65%","9.81%",34.84,0.8199,0.5379,29774,0.282
"91","第7案","南投縣","竹山鎮","18,659","5,202","23,861","1,821","25,682","47,034","54.6%","39.67%","11.06%",28.61,0.782,0.68,21162,0.102
"92","第7案","南投縣","集集鎮","4,068","1,045","5,113","418","5,531","9,611","57.55%","42.33%","10.87%",31.46,0.7956,0.6863,4774,0.1093
"93","第7案","南投縣","名間鄉","14,946","3,387","18,333","1,622","19,955","33,408","59.73%","44.74%","10.14%",34.6,0.8153,0.6475,15432,0.1678
"94","第7案","南投縣","鹿谷鄉","6,543","1,383","7,926","587","8,513","15,941","53.4%","41.05%","8.68%",32.37,0.8255,0.7248,8156,0.1007
"95","第7案","南投縣","中寮鄉","5,701","1,272","6,973","633","7,606","13,181","57.7%","43.25%","9.65%",33.6,0.8176,0.7031,6940,0.1145
"96","第7案","南投縣","魚池鄉","5,746","1,277","7,023","536","7,559","13,958","54.16%","41.17%","9.15%",32.02,0.8182,0.6899,6810,0.1283
"97","第7案","南投縣","國姓鄉","7,165","1,490","8,655","629","9,284","16,597","55.94%","43.17%","8.98%",34.19,0.8278,0.6821,8152,0.1457
"98","第7案","南投縣","水里鄉","6,511","1,422","7,933","589","8,522","15,458","55.13%","42.12%","9.20%",32.92,0.8207,0.6989,7621,0.1218
"99","第7案","南投縣","信義鄉","5,246","1,259","6,505","961","7,466","13,299","56.14%","39.45%","9.47%",29.98,0.8065,0.8096,7902,-0.00309999999999999
"100","第7案","南投縣","仁愛鄉","5,087","1,090","6,177","467","6,644","12,589","52.78%","40.41%","8.66%",31.75,0.8235,0.8482,8037,-0.0246999999999999
"101","第7案","雲林縣","","213,508","57,394","270,902","26,295","297,197","584,480","50.85%","36.53%","9.82%",26.71,0.7881,NA,NA,NA
"102","第7案","雲林縣","斗六市","38,874","9,361","48,235","2,719","50,954","89,761","56.77%","43.31%","10.43%",32.88,0.8059,0.5508,32050,0.2551
"103","第7案","雲林縣","斗南鎮","15,804","4,072","19,876","1,529","21,405","38,138","56.13%","41.44%","10.68%",30.76,0.7951,0.5206,13445,0.2745
"104","第7案","雲林縣","虎尾鎮","22,521","5,890","28,411","2,061","30,472","58,167","52.39%","38.72%","10.13%",28.59,0.7927,0.5593,21349,0.2334
"105","第7案","雲林縣","西螺鎮","14,318","3,797","18,115","1,780","19,895","38,142","52.16%","37.54%","9.95%",27.59,0.7904,0.4689,12109,0.3215
"106","第7案","雲林縣","土庫鎮","8,902","2,454","11,356","1,302","12,658","24,412","51.85%","36.47%","10.05%",26.42,0.7839,0.584,10136,0.1999
"107","第7案","雲林縣","北港鎮","12,837","3,548","16,385","1,884","18,269","33,958","53.8%","37.8%","10.45%",27.35,0.7835,0.4922,11426,0.2913
"108","第7案","雲林縣","古坑鄉","10,321","2,757","13,078","1,145","14,223","27,477","51.76%","37.56%","10.03%",27.53,0.7892,0.5435,10087,0.2457
"109","第7案","雲林縣","大埤鄉","5,988","1,651","7,639","738","8,377","16,509","50.74%","36.27%","10.00%",26.27,0.7839,0.5396,6339,0.2443
"110","第7案","雲林縣","莿桐鄉","9,304","2,727","12,031","1,428","13,459","24,570","54.78%","37.87%","11.10%",26.77,0.7733,0.4694,8218,0.3039
"111","第7案","雲林縣","林內鄉","6,202","1,601","7,803","942","8,745","15,551","56.23%","39.88%","10.30%",29.58,0.7948,0.4963,5234,0.2985
"112","第7案","雲林縣","二崙鄉","7,403","2,281","9,684","1,247","10,931","23,367","46.78%","31.68%","9.76%",21.92,0.7645,0.4722,7461,0.2923
"113","第7案","雲林縣","崙背鄉","6,925","2,106","9,031","970","10,001","21,050","47.51%","32.9%","10.00%",22.9,0.7668,0.5485,7961,0.2183
"114","第7案","雲林縣","麥寮鄉","12,437","3,759","16,196","1,781","17,977","37,119","48.43%","33.51%","10.13%",23.38,0.7679,0.6802,15550,0.0877000000000001
"115","第7案","雲林縣","東勢鄉","4,542","1,181","5,723","742","6,465","13,239","48.83%","34.31%","8.92%",25.39,0.7936,0.5756,5687,0.218
"116","第7案","雲林縣","褒忠鄉","4,069","1,127","5,196","511","5,707","11,381","50.14%","35.75%","9.90%",25.85,0.7831,0.5455,4746,0.2376
"117","第7案","雲林縣","臺西鄉","6,679","1,728","8,407","1,093","9,500","21,125","44.97%","31.62%","8.18%",23.44,0.7945,0.6359,8833,0.1586
"118","第7案","雲林縣","元長鄉","6,583","1,928","8,511","1,043","9,554","22,830","41.85%","28.83%","8.45%",20.38,0.7735,0.5311,8118,0.2424
"119","第7案","雲林縣","四湖鄉","5,552","1,552","7,104","889","7,993","20,983","38.09%","26.46%","7.40%",19.06,0.7815,0.5131,6384,0.2684
"120","第7案","雲林縣","口湖鄉","7,648","2,080","9,728","1,405","11,133","24,193","46.02%","31.61%","8.60%",23.01,0.7862,0.5385,8739,0.2477
"121","第7案","雲林縣","水林鄉","6,599","1,794","8,393","1,086","9,479","22,508","42.11%","29.32%","7.97%",21.35,0.7863,0.4607,6898,0.3256
"122","第7案","嘉義縣","","155,084","42,921","198,005","21,707","219,712","442,775","49.62%","35.03%","9.69%",25.34,0.7832,NA,NA,NA
"123","第7案","嘉義縣","太保市","11,773","3,217","14,990","1,411","16,401","31,568","51.95%","37.29%","10.19%",27.1,0.7854,0.3004,6092,0.485
"124","第7案","嘉義縣","朴子市","12,753","3,455","16,208","1,714","17,922","35,191","50.93%","36.24%","9.82%",26.42,0.7868,0.279,6178,0.5078
"125","第7案","嘉義縣","布袋鎮","7,992","2,087","10,079","1,337","11,416","23,965","47.64%","33.35%","8.71%",24.64,0.7929,0.3339,5053,0.459
"126","第7案","嘉義縣","大林鎮","9,837","2,605","12,442","1,126","13,568","26,922","50.4%","36.54%","9.68%",26.86,0.7906,0.3085,5426,0.4821
"127","第7案","嘉義縣","民雄鄉","22,895","6,700","29,595","2,904","32,499","61,209","53.1%","37.4%","10.95%",26.45,0.7736,0.3191,12139,0.4545
"128","第7案","嘉義縣","溪口鄉","4,446","1,304","5,750","716","6,466","13,105","49.34%","33.93%","9.95%",23.98,0.7732,0.2316,2099,0.5416
"129","第7案","嘉義縣","新港鄉","9,871","2,914","12,785","1,636","14,421","27,342","52.74%","36.1%","10.66%",25.44,0.7721,0.2297,4298,0.5424
"130","第7案","嘉義縣","六腳鄉","5,958","1,540","7,498","959","8,457","20,821","40.62%","28.62%","7.40%",21.22,0.7946,0.2362,2989,0.5584
"131","第7案","嘉義縣","東石鄉","5,735","1,576","7,311","1,164","8,475","21,915","38.67%","26.17%","7.19%",18.98,0.7844,0.2413,3193,0.5431
"132","第7案","嘉義縣","義竹鄉","5,818","1,526","7,344","901","8,245","16,647","49.53%","34.95%","9.17%",25.78,0.7922,0.2014,2414,0.5908
"133","第7案","嘉義縣","鹿草鄉","4,397","1,220","5,617","904","6,521","13,937","46.79%","31.55%","8.75%",22.8,0.7828,0.2843,2545,0.4985
"134","第7案","嘉義縣","水上鄉","16,150","4,702","20,852","2,000","22,852","43,857","52.11%","36.82%","10.72%",26.1,0.7745,0.3515,9734,0.423
"135","第7案","嘉義縣","中埔鄉","12,785","3,594","16,379","1,538","17,917","39,139","45.78%","32.67%","9.18%",23.49,0.7806,0.3285,7751,0.4521
"136","第7案","嘉義縣","竹崎鄉","11,147","3,039","14,186","1,393","15,579","31,228","49.89%","35.7%","9.73%",25.97,0.7858,0.3016,6300,0.4842
"137","第7案","嘉義縣","梅山鄉","6,588","1,785","8,373","882","9,255","17,083","54.18%","38.56%","10.45%",28.11,0.7868,0.2871,3437,0.4997
"138","第7案","嘉義縣","番路鄉","4,089","968","5,057","508","5,565","10,156","54.8%","40.26%","9.53%",30.73,0.8086,0.3638,2510,0.4448
"139","第7案","嘉義縣","大埔鄉","1,555","392","1,947","167","2,114","3,999","52.86%","38.88%","9.80%",29.08,0.7987,0.2989,919,0.4998
"140","第7案","嘉義縣","阿里山鄉","1,295","297","1,592","447","2,039","4,691","43.47%","27.61%","6.33%",21.28,0.8134,0.3608,1166,0.4526
"141","第7案","屏東縣","","259,443","70,573","330,016","33,128","363,144","711,720","51.02%","36.45%","9.92%",26.53,0.7862,NA,NA,NA
"142","第7案","屏東縣","屏東市","66,120","17,114","83,234","5,603","88,837","170,148","52.21%","38.86%","10.06%",28.8,0.7944,0.4547,46320,0.3397
"143","第7案","屏東縣","潮州鎮","17,240","4,550","21,790","1,878","23,668","46,444","50.96%","37.12%","9.80%",27.32,0.7912,0.4362,12571,0.355
"144","第7案","屏東縣","東港鎮","14,549","3,955","18,504","2,301","20,805","39,495","52.68%","36.84%","10.01%",26.83,0.7863,0.4704,11387,0.3159
"145","第7案","屏東縣","恆春鎮","8,909","2,055","10,964","842","11,806","25,661","46.01%","34.72%","8.01%",26.71,0.8126,0.4055,6729,0.4071
"146","第7案","屏東縣","萬丹鄉","15,892","4,655","20,547","2,197","22,744","43,478","52.31%","36.55%","10.71%",25.84,0.7734,0.3887,11272,0.3847
"147","第7案","屏東縣","長治鄉","9,969","2,844","12,813","1,489","14,302","26,256","54.47%","37.97%","10.83%",27.14,0.778,0.4005,6939,0.3775
"148","第7案","屏東縣","麟洛鄉","4,077","1,077","5,154","408","5,562","9,970","55.79%","40.89%","10.80%",30.09,0.791,0.3545,2526,0.4365
"149","第7案","屏東縣","九如鄉","7,108","1,976","9,084","1,227","10,311","19,132","53.89%","37.15%","10.33%",26.82,0.7825,0.3003,3977,0.4822
"150","第7案","屏東縣","里港鄉","8,226","2,453","10,679","1,363","12,042","22,128","54.42%","37.17%","11.09%",26.08,0.7703,0.3475,5371,0.4228
"151","第7案","屏東縣","鹽埔鄉","8,036","2,168","10,204","1,173","11,377","22,402","50.79%","35.87%","9.68%",26.19,0.7875,0.412,6561,0.3755
"152","第7案","屏東縣","高樹鄉","6,898","2,226","9,124","1,225","10,349","21,697","47.7%","31.79%","10.26%",21.53,0.756,0.3453,5402,0.4107
"153","第7案","屏東縣","萬巒鄉","6,002","1,899","7,901","986","8,887","17,945","49.52%","33.45%","10.58%",22.87,0.7597,0.3141,3866,0.4456
"154","第7案","屏東縣","內埔鄉","15,808","4,258","20,066","1,854","21,920","47,558","46.09%","33.24%","8.95%",24.29,0.7878,0.3684,10697,0.4194
"155","第7案","屏東縣","竹田鄉","6,113","1,793","7,906","867","8,773","15,353","57.14%","39.82%","11.68%",28.14,0.7732,0.3623,4040,0.4109
"156","第7案","屏東縣","新埤鄉","3,096","909","4,005","465","4,470","9,033","49.49%","34.27%","10.06%",24.21,0.773,0.4134,2663,0.3596
"157","第7案","屏東縣","枋寮鄉","7,667","2,168","9,835","1,370","11,205","21,394","52.37%","35.84%","10.13%",25.71,0.7796,0.5044,7635,0.2752
"158","第7案","屏東縣","新園鄉","10,874","3,150","14,024","1,928","15,952","30,706","51.95%","35.41%","10.26%",25.15,0.7754,0.3928,8167,0.3826
"159","第7案","屏東縣","崁頂鄉","4,496","1,231","5,727","563","6,290","12,270","51.26%","36.64%","10.03%",26.61,0.7851,0.388,3219,0.3971
"160","第7案","屏東縣","林邊鄉","5,897","1,721","7,618","991","8,609","15,691","54.87%","37.58%","10.97%",26.61,0.7741,0.3884,4376,0.3857
"161","第7案","屏東縣","南州鄉","3,479","966","4,445","493","4,938","9,479","52.09%","36.7%","10.19%",26.51,0.7827,0.4284,3024,0.3543
"162","第7案","屏東縣","佳冬鄉","5,700","1,644","7,344","1,050","8,394","17,063","49.19%","33.41%","9.63%",23.78,0.7761,0.3729,4432,0.4032
"163","第7案","屏東縣","琉球鄉","3,306","726","4,032","551","4,583","10,706","42.81%","30.88%","6.78%",24.1,0.8199,0.6926,4763,0.1273
"164","第7案","屏東縣","車城鄉","2,167","580","2,747","279","3,026","7,595","39.84%","28.53%","7.64%",20.89,0.7889,0.3367,1786,0.4522
"165","第7案","屏東縣","滿州鄉","2,211","556","2,767","240","3,007","7,206","41.73%","30.68%","7.72%",22.96,0.7991,0.3768,1994,0.4223
"166","第7案","屏東縣","枋山鄉","1,689","484","2,173","236","2,409","4,856","49.61%","34.78%","9.97%",24.81,0.7773,0.3563,1385,0.421
"167","第7案","屏東縣","三地門鄉","2,295","606","2,901","279","3,180","6,373","49.9%","36.01%","9.51%",26.5,0.7911,0.5614,2895,0.2297
"168","第7案","屏東縣","霧臺鄉","1,151","301","1,452","109","1,561","2,950","52.92%","39.02%","10.20%",28.82,0.7927,0.4534,1129,0.3393
"169","第7案","屏東縣","瑪家鄉","2,394","657","3,051","223","3,274","5,663","57.81%","42.27%","11.60%",30.67,0.7847,0.514,2350,0.2707
"170","第7案","屏東縣","泰武鄉","1,895","515","2,410","287","2,697","4,344","62.09%","43.62%","11.86%",31.76,0.7863,0.4662,1668,0.3201
"171","第7案","屏東縣","來義鄉","2,655","554","3,209","362","3,571","6,257","57.07%","42.43%","8.85%",33.58,0.8274,0.5624,2673,0.265
"172","第7案","屏東縣","春日鄉","767","215","982","56","1,038","3,923","26.46%","19.55%","5.48%",14.07,0.7811,0.5738,1737,0.2073
"173","第7案","屏東縣","獅子鄉","1,409","287","1,696","129","1,825","4,230","43.14%","33.31%","6.78%",26.53,0.8308,0.6402,2192,0.1906
